row_index,split,clip_id,source_branch,class_name,label,original_len,video_len_after_collation
0,train,11_1_10_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_10_1,未知球種,0,56,56
1,train,11_1_11_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_11_1,未知球種,0,55,55
2,train,11_1_12_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_12_1,未知球種,0,56,56
3,train,11_1_13_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_13_1,未知球種,0,33,33
4,train,11_1_14_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_14_1,未知球種,0,56,56
5,train,11_1_15_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_15_1,未知球種,0,47,47
6,train,11_1_16_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_16_1,未知球種,0,56,56
7,train,11_1_17_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_17_1,未知球種,0,47,47
8,train,11_1_18_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_18_1,未知球種,0,56,56
9,train,11_1_19_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_19_1,未知球種,0,56,56
10,train,11_1_20_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_20_1,未知球種,0,44,44
11,train,11_1_21_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_21_1,未知球種,0,56,56
12,train,11_1_22_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_22_1,未知球種,0,55,55
13,train,11_1_23_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_23_1,未知球種,0,34,34
14,train,11_1_24_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_24_1,未知球種,0,55,55
15,train,11_1_26_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_26_1,未知球種,0,56,56
16,train,11_1_27_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_27_1,未知球種,0,56,56
17,train,11_1_28_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_28_1,未知球種,0,55,55
18,train,11_1_2_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_2_1,未知球種,0,54,54
19,train,11_1_30_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_30_1,未知球種,0,54,54
