video_id,rally_id,event_rank,clip_id,feature_source,window_start_original,window_end_original,frame_count,joints_shape,pos_shape,shuttle_shape,joints_npy,pos_npy,shuttle_npy,source_video,reference_branch
41,1,1,41_1_event_1,yolo,8910,8926,17,17x2x17x2,17x2x2,17x2,project/outputs/features_yolo26x_41_44/41/41_1_event_1_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_1_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_1_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,2,41_1_event_2,yolo,8926,8952,27,27x2x17x2,27x2x2,27x2,project/outputs/features_yolo26x_41_44/41/41_1_event_2_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_2_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_2_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,3,41_1_event_3,yolo,8952,8975,24,24x2x17x2,24x2x2,24x2,project/outputs/features_yolo26x_41_44/41/41_1_event_3_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_3_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_3_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,4,41_1_event_4,yolo,8975,8997,23,23x2x17x2,23x2x2,23x2,project/outputs/features_yolo26x_41_44/41/41_1_event_4_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_4_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_4_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,5,41_1_event_5,yolo,8997,9019,23,23x2x17x2,23x2x2,23x2,project/outputs/features_yolo26x_41_44/41/41_1_event_5_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_5_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_5_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,6,41_1_event_6,yolo,9019,9042,24,24x2x17x2,24x2x2,24x2,project/outputs/features_yolo26x_41_44/41/41_1_event_6_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_6_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_6_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,7,41_1_event_7,yolo,9042,9070,29,29x2x17x2,29x2x2,29x2,project/outputs/features_yolo26x_41_44/41/41_1_event_7_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_7_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_7_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,8,41_1_event_8,yolo,9070,9097,28,28x2x17x2,28x2x2,28x2,project/outputs/features_yolo26x_41_44/41/41_1_event_8_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_8_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_8_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,9,41_1_event_9,yolo,9097,9126,30,30x2x17x2,30x2x2,30x2,project/outputs/features_yolo26x_41_44/41/41_1_event_9_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_9_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_9_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
41,1,10,41_1_event_10,yolo,9126,9154,29,29x2x17x2,29x2x2,29x2,project/outputs/features_yolo26x_41_44/41/41_1_event_10_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_10_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_10_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,
