video_id,rally_id,event_rank,clip_id,feature_source,window_strategy,player_order,event_frame_original,prev_event_frame_original,next_event_frame_original,event_offset_frames,window_start_original,window_end_original,frame_count,joints_shape,pos_shape,shuttle_shape,joints_npy,pos_npy,shuttle_npy,validity_npz,source_video,worker_device
41,1,1,41_1_1_1,yolo26x_tracked,bst-compatible,"Top,Bottom",9731,,9754,15,9716,9760,45,45x2x17x2,45x2x2,45x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,2,41_1_1_2,yolo26x_tracked,bst-compatible,"Top,Bottom",9754,9731,9787,23,9731,9793,63,63x2x17x2,63x2x2,63x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_2_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_2_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1
41,1,3,41_1_1_3,yolo26x_tracked,bst-compatible,"Top,Bottom",9787,9754,9817,33,9754,9823,70,70x2x17x2,70x2x2,70x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,4,41_1_1_4,yolo26x_tracked,bst-compatible,"Top,Bottom",9817,9787,9851,30,9787,9857,71,71x2x17x2,71x2x2,71x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_4_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_4_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_4_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_4_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1
41,1,5,41_1_1_5,yolo26x_tracked,bst-compatible,"Top,Bottom",9851,9817,9894,34,9817,9900,84,84x2x17x2,84x2x2,84x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,6,41_1_1_6,yolo26x_tracked,bst-compatible,"Top,Bottom",9894,9851,9916,43,9851,9922,72,72x2x17x2,72x2x2,72x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_6_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_6_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_6_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_6_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1
41,1,7,41_1_1_7,yolo26x_tracked,bst-compatible,"Top,Bottom",9916,9894,9951,22,9894,9957,64,64x2x17x2,64x2x2,64x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,8,41_1_1_8,yolo26x_tracked,bst-compatible,"Top,Bottom",9951,9916,9975,35,9916,9981,66,66x2x17x2,66x2x2,66x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_8_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_8_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_8_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_8_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1
41,1,9,41_1_1_9,yolo26x_tracked,bst-compatible,"Top,Bottom",9975,9951,10004,24,9951,10010,60,60x2x17x2,60x2x2,60x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0
41,1,10,41_1_1_10,yolo26x_tracked,bst-compatible,"Top,Bottom",10004,9975,10048,29,9975,10054,80,80x2x17x2,80x2x2,80x2,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_10_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_10_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_10_shuttle.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_10_validity.npz,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1
