video_id,rally_id,event_rank,event_frame_local,event_frame_original,window_start_local,window_end_local,window_start_original,window_end_original,context_start_original,context_end_original,prev_event_frame_original,next_event_frame_original
40,2,1,99,12159,0,131,12060,12191,12144,12174,,12223
40,2,2,163,12223,131,170,12191,12230,12208,12238,12159,12236
40,2,3,176,12236,170,188,12230,12248,12221,12251,12223,12261
40,2,4,201,12261,188,216,12248,12276,12246,12276,12236,12291
40,2,5,231,12291,216,243,12276,12303,12276,12306,12261,12315
40,2,6,255,12315,243,276,12303,12336,12300,12330,12291,12357
40,2,7,297,12357,276,308,12336,12368,12342,12372,12315,12380
40,2,8,320,12380,308,336,12368,12396,12365,12395,12357,12412
40,2,9,352,12412,336,450,12396,12510,12397,12427,12380,
40,3,1,119,12779,0,149,12660,12809,12764,12794,,12839
40,3,2,179,12839,149,186,12809,12846,12824,12854,12779,12852
40,3,3,192,12852,186,204,12846,12864,12837,12867,12839,12876
40,3,4,216,12876,204,224,12864,12884,12861,12891,12852,12892
40,3,5,232,12892,224,330,12884,12990,12877,12907,12876,
40,4,1,106,13666,0,136,13560,13696,13651,13681,,13727
40,4,2,167,13727,136,176,13696,13736,13712,13742,13666,13746
40,4,3,186,13746,176,240,13736,13800,13731,13761,13727,
40,5,1,150,14100,0,179,13950,14129,14085,14115,,14158
40,5,2,208,14158,179,219,14129,14169,14143,14173,14100,14180
40,5,3,230,14180,219,246,14169,14196,14165,14195,14158,14212
40,5,4,262,14212,246,510,14196,14460,14197,14227,14180,
40,6,1,6,14556,0,34,14550,14584,14550,14571,,14612
40,6,2,62,14612,34,75,14584,14625,14597,14627,14556,14638
40,6,3,88,14638,75,104,14625,14654,14623,14653,14612,14671
40,6,4,121,14671,104,240,14654,14790,14656,14686,14638,
40,7,1,148,15208,0,180,15060,15240,15193,15223,,15271
40,7,2,211,15271,180,218,15240,15278,15256,15286,15208,15286
40,7,3,226,15286,218,360,15278,15420,15271,15301,15271,
40,8,1,61,15661,0,91,15600,15691,15646,15676,,15721
40,8,2,121,15721,91,127,15691,15727,15706,15736,15661,15733
40,8,3,133,15733,127,146,15727,15746,15718,15748,15721,15759
40,8,4,159,15759,146,172,15746,15772,15744,15774,15733,15785
40,8,5,185,15785,172,201,15772,15801,15770,15800,15759,15817
40,8,6,217,15817,201,223,15801,15823,15802,15832,15785,15829
40,8,7,229,15829,223,242,15823,15842,15814,15844,15817,15854
40,8,8,254,15854,242,264,15842,15864,15839,15869,15829,15874
40,8,9,274,15874,264,289,15864,15889,15859,15889,15854,15904
40,8,10,304,15904,289,390,15889,15990,15889,15919,15874,
40,9,1,2,16382,0,32,16380,16412,16380,16397,,16443
40,9,2,63,16443,32,74,16412,16454,16428,16458,16382,16466
40,9,3,86,16466,74,98,16454,16478,16451,16481,16443,16491
40,9,4,111,16491,98,240,16478,16620,16476,16506,16466,
40,10,1,16,16906,0,28,16890,16918,16891,16921,,16931
40,10,2,41,16931,28,54,16918,16944,16916,16946,16906,16957
40,10,3,67,16957,54,88,16944,16978,16942,16972,16931,16998
40,10,4,108,16998,88,120,16978,17010,16983,17013,16957,17023
40,10,5,133,17023,120,148,17010,17038,17008,17038,16998,17053
40,10,6,163,17053,148,186,17038,17076,17038,17068,17023,17098
40,10,7,208,17098,186,216,17076,17106,17083,17113,17053,17115
40,10,8,225,17115,216,238,17106,17128,17100,17130,17098,17140
40,10,9,250,17140,238,360,17128,17250,17125,17155,17115,
40,12,1,98,18218,0,130,18120,18250,18203,18233,,18281
40,12,2,161,18281,130,178,18250,18298,18266,18296,18218,18315
40,12,3,195,18315,178,202,18298,18322,18300,18330,18281,18329
40,12,4,209,18329,202,226,18322,18346,18314,18344,18315,18362
40,12,5,242,18362,226,261,18346,18381,18347,18377,18329,18400
40,12,6,280,18400,261,300,18381,18420,18385,18415,18362,18440
40,12,7,320,18440,300,336,18420,18456,18425,18455,18400,18472
40,12,8,352,18472,336,376,18456,18496,18457,18487,18440,18519
40,12,9,399,18519,376,413,18496,18533,18504,18534,18472,18547
40,12,10,427,18547,413,442,18533,18562,18532,18562,18519,18576
40,12,11,456,18576,442,540,18562,18660,18561,18591,18547,
40,13,1,5,19025,0,34,19020,19054,19020,19040,,19082
40,13,2,62,19082,34,70,19054,19090,19067,19097,19025,19097
40,13,3,77,19097,70,88,19090,19108,19082,19112,19082,19120
40,13,4,100,19120,88,115,19108,19135,19105,19135,19097,19150
40,13,5,130,19150,115,138,19135,19158,19135,19165,19120,19165
40,13,6,145,19165,138,162,19158,19182,19150,19180,19150,19199
40,13,7,179,19199,162,186,19182,19206,19184,19214,19165,19214
40,13,8,194,19214,186,202,19206,19222,19199,19229,19199,19229
40,13,9,209,19229,202,220,19222,19240,19214,19244,19214,19252
40,13,10,232,19252,220,246,19240,19266,19237,19267,19229,19281
40,13,11,261,19281,246,278,19266,19298,19266,19296,19252,19316
40,13,12,296,19316,278,314,19298,19334,19301,19331,19281,19352
40,13,13,332,19352,314,346,19334,19366,19337,19367,19316,19379
40,13,14,359,19379,346,376,19366,19396,19364,19394,19352,19414
40,13,15,394,19414,376,400,19396,19420,19399,19429,19379,19425
40,13,16,405,19425,400,480,19420,19500,19410,19440,19414,
40,14,1,77,19937,0,106,19860,19966,19922,19952,,19996
40,14,2,136,19996,106,145,19966,20005,19981,20011,19937,20014
40,14,3,154,20014,145,167,20005,20027,19999,20029,19996,20040
40,14,4,180,20040,167,198,20027,20058,20025,20055,20014,20076
40,14,5,216,20076,198,229,20058,20089,20061,20091,20040,20102
40,14,6,242,20102,229,251,20089,20111,20087,20117,20076,20120
40,14,7,260,20120,251,273,20111,20133,20105,20135,20102,20146
40,14,8,286,20146,273,303,20133,20163,20131,20161,20120,20180
40,14,9,320,20180,303,340,20163,20200,20165,20195,20146,20221
40,14,10,361,20221,340,380,20200,20240,20206,20236,20180,20259
40,14,11,399,20259,380,422,20240,20282,20244,20274,20221,20304
40,14,12,444,20304,422,540,20282,20400,20289,20319,20259,
40,15,1,1,20881,0,14,20880,20894,20880,20896,,20906
40,15,2,26,20906,14,44,20894,20924,20891,20921,20881,20943
40,15,3,63,20943,44,77,20924,20957,20928,20958,20906,20971
40,15,4,91,20971,77,240,20957,21120,20956,20986,20943,
40,16,1,8,21758,0,38,21750,21788,21750,21773,,21817
40,16,2,67,21817,38,79,21788,21829,21802,21832,21758,21841
40,16,3,91,21841,79,108,21829,21858,21826,21856,21817,21874
40,16,4,124,21874,108,130,21858,21880,21859,21889,21841,21885
