row_index,video_id,rally_id,event_rank,clip_id,feature_source,window_start_original,window_end_original,original_len,video_len_after_collation,joints_npy,pos_npy,shuttle_npy,source_video,zero_pose_frames,zero_pose_rate,shuttle_visible_frames,shuttle_visible_rate,player_pos_out_of_unit_range,quality_group,has_phase02_label,stable_key,match_id,set_id,gt_rally_id,ball_round_id,event_frame_original,event_frame_source,stroke_type_ground_truth,player,server,true_label,true_label_name,reference_split
0,41,1,1,41_1_event_1,yolo,8910,8926,17,17,project/outputs/features_yolo26x_41_44/41/41_1_event_1_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_1_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_1_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,5,0.294118,15,0.882353,0,candidate_only_pose_dropout_25_50,False,,,,,,8918,window_midpoint_estimate,,,,-1,,
1,41,1,2,41_1_event_2,yolo,8926,8952,27,27,project/outputs/features_yolo26x_41_44/41/41_1_event_2_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_2_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_2_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,6,0.222222,0,candidate_only_pose_dropout_lt_25,False,,,,,,8939,window_midpoint_estimate,,,,-1,,
2,41,1,3,41_1_event_3,yolo,8952,8975,24,24,project/outputs/features_yolo26x_41_44/41/41_1_event_3_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_3_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_3_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,5,0.208333,24,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,8964,window_midpoint_estimate,,,,-1,,
3,41,1,4,41_1_event_4,yolo,8975,8997,23,23,project/outputs/features_yolo26x_41_44/41/41_1_event_4_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_4_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_4_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,9,0.391304,23,1.000000,0,candidate_only_pose_dropout_25_50,False,,,,,,8986,window_midpoint_estimate,,,,-1,,
4,41,1,5,41_1_event_5,yolo,8997,9019,23,23,project/outputs/features_yolo26x_41_44/41/41_1_event_5_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_5_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_5_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,11,0.478261,23,1.000000,6,candidate_only_pose_dropout_25_50,False,,,,,,9008,window_midpoint_estimate,,,,-1,,
5,41,1,6,41_1_event_6,yolo,9019,9042,24,24,project/outputs/features_yolo26x_41_44/41/41_1_event_6_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_6_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_6_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1,0.041667,24,1.000000,23,candidate_only_pose_dropout_lt_25,False,,,,,,9030,window_midpoint_estimate,,,,-1,,
6,41,1,7,41_1_event_7,yolo,9042,9070,29,29,project/outputs/features_yolo26x_41_44/41/41_1_event_7_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_7_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_7_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1,0.034483,29,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9056,window_midpoint_estimate,,,,-1,,
7,41,1,8,41_1_event_8,yolo,9070,9097,28,28,project/outputs/features_yolo26x_41_44/41/41_1_event_8_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_8_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_8_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,28,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9084,window_midpoint_estimate,,,,-1,,
8,41,1,9,41_1_event_9,yolo,9097,9126,30,30,project/outputs/features_yolo26x_41_44/41/41_1_event_9_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_9_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_9_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,30,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9112,window_midpoint_estimate,,,,-1,,
9,41,1,10,41_1_event_10,yolo,9126,9154,29,29,project/outputs/features_yolo26x_41_44/41/41_1_event_10_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_10_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_10_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,27,0.931034,0,candidate_only_pose_dropout_lt_25,False,,,,,,9140,window_midpoint_estimate,,,,-1,,
