evaluation_group,rows,labeled_rows,accuracy,macro_precision_supported,macro_recall_supported,macro_f1_supported,supported_class_count
all_candidates,6282,2986,0.0840589417280643,0.24787081859853877,0.11753449897561062,0.09231343373538468,25
exact_label_all,2986,2986,0.0840589417280643,0.24787081859853877,0.11753449897561062,0.09231343373538468,25
reference_test_primary,1897,1897,0.09225092250922509,0.2844248741033202,0.1234365051431237,0.1007178482448812,25
reference_val_diagnostic,1089,1089,0.06978879706152434,0.2628273798823973,0.10726026790520767,0.08108517133887369,23
exact_label_pose_dropout_lt_50,1436,1436,0.12534818941504178,0.2715178140778537,0.14954226562061007,0.1278059821605575,25
reference_test_pose_dropout_lt_50,925,925,0.1362162162162162,0.2914690758786903,0.1636419629044967,0.13563515426617812,25
exact_label_pose_dropout_lt_25,914,914,0.1323851203501094,0.2603610569090696,0.17008774120994752,0.14455623983712113,25
reference_test_pose_dropout_lt_25,609,609,0.1412151067323481,0.2537635652079871,0.17958314662933336,0.14700431998214375,25
exact_label_all_pose_missing,329,329,0.0364741641337386,0.001458966565349544,0.04,0.0028152492668621705,25
exact_label_video_41,1089,1089,0.06978879706152434,0.2628273798823973,0.10726026790520767,0.08108517133887369,23
exact_label_video_42,594,594,0.04208754208754209,0.07623116456613993,0.07769408369408369,0.025647861097377975,25
exact_label_video_43,507,507,0.047337278106508875,0.14152520576131686,0.04156398687648688,0.03912793991135072,24
exact_label_video_44,796,796,0.15829145728643215,0.30113313405015224,0.16595642201778202,0.13980501620034763,25
