row_index,video_id,rally_id,event_rank,clip_id,feature_alias_source_clip_id,feature_source,window_strategy,player_order,event_offset_frames,window_start_original,window_end_original,original_len,video_len_after_collation,joints_npy,pos_npy,shuttle_npy,source_video,validity_npz,zero_pose_frames,zero_pose_rate,pose_missing_rate,position_missing_rate,p1_pose_valid_rate,p2_pose_valid_rate,p1_position_valid_rate,p2_position_valid_rate,both_pose_missing_rate,both_position_missing_rate,pose_tensor_zero_rate,position_tensor_zero_rate,shuttle_visible_frames,shuttle_visible_rate,player_pos_out_of_unit_range,player_side_inconsistent_rate,quality_group,has_phase02_label,stable_key,match_id,set_id,gt_rally_id,ball_round_id,event_frame_original,event_frame_source,stroke_type_ground_truth,player,server,true_label,true_label_name,reference_split
0,41,1,1,41_1_1_1,,yolo26x_tracked,bst-compatible,"Top,Bottom",15,9716,9760,45,45,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_1_validity.npz,5,0.11111099999999996,0.11111099999999996,0.11111099999999996,0.777778,1.000000,0.777778,1.000000,0.000000,0.000000,0.204902,0.111111,33,0.733333,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:1,41,1,1,1,9731,phase09_exact,short service,B,1,23,Bottom_short service,val
1,41,1,2,41_1_1_2,,yolo26x_tracked,bst-compatible,"Top,Bottom",23,9731,9793,63,63,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_2_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_2_validity.npz,7,0.11111099999999996,0.11111099999999996,0.11111099999999996,0.777778,1.000000,0.777778,1.000000,0.000000,0.000000,0.203315,0.111111,63,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:2,41,1,1,2,9754,phase09_exact,lob,A,2,4,Top_lob,val
2,41,1,3,41_1_1_3,,yolo26x_tracked,bst-compatible,"Top,Bottom",33,9754,9823,70,70,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_3_validity.npz,8,0.11428550000000004,0.11428550000000004,0.11428550000000004,0.771429,1.000000,0.771429,1.000000,0.000000,0.000000,0.211555,0.114286,70,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:3,41,1,1,3,9787,phase09_exact,clear,B,2,17,Bottom_clear,val
3,41,1,4,41_1_1_4,,yolo26x_tracked,bst-compatible,"Top,Bottom",30,9787,9857,71,71,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_4_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_4_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_4_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_4_validity.npz,11,0.15492949999999994,0.15492949999999994,0.15492949999999994,0.690141,1.000000,0.690141,1.000000,0.000000,0.000000,0.254557,0.154930,71,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:4,41,1,1,4,9817,phase09_exact,drop,A,2,7,Top_drop,val
4,41,1,5,41_1_1_5,,yolo26x_tracked,bst-compatible,"Top,Bottom",34,9817,9900,84,84,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_5_validity.npz,14,0.16071449999999998,0.16071449999999998,0.16071449999999998,0.678571,1.000000,0.678571,1.000000,0.000000,0.000000,0.26348,0.160714,84,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:5,41,1,1,5,9851,phase09_exact,lob,B,2,16,Bottom_lob,val
5,41,1,6,41_1_1_6,,yolo26x_tracked,bst-compatible,"Top,Bottom",43,9851,9922,72,72,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_6_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_6_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_6_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_6_validity.npz,11,0.14583349999999995,0.14583349999999995,0.14583349999999995,0.708333,1.000000,0.708333,1.000000,0.000000,0.000000,0.243056,0.145833,72,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:6,41,1,1,6,9894,phase09_exact,passive drop,A,2,7,Top_drop,val
6,41,1,7,41_1_1_7,,yolo26x_tracked,bst-compatible,"Top,Bottom",22,9894,9957,64,64,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_7_validity.npz,10,0.1484375,0.1484375,0.1484375,0.703125,1.000000,0.703125,1.000000,0.000000,0.000000,0.251149,0.148438,64,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:7,41,1,1,7,9916,phase09_exact,push,B,2,20,Bottom_push,val
7,41,1,8,41_1_1_8,,yolo26x_tracked,bst-compatible,"Top,Bottom",35,9916,9981,66,66,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_8_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_8_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_8_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_8_validity.npz,0,0.0,0.0,0.0,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.116087,0.000000,66,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:8,41,1,1,8,9951,phase09_exact,passive drop,A,2,7,Top_drop,val
8,41,1,9,41_1_1_9,,yolo26x_tracked,bst-compatible,"Top,Bottom",24,9951,10010,60,60,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_9_validity.npz,16,0.275,0.275,0.275,0.450000,1.000000,0.450000,1.000000,0.000000,0.000000,0.375245,0.275000,60,1.0,0,0.000000,exact_label_pose_dropout_25_50,True,41:1:1:9,41,1,1,9,9975,phase09_exact,cross-court net shot,B,2,22,Bottom_cross-court net shot,val
9,41,1,10,41_1_1_10,,yolo26x_tracked,bst-compatible,"Top,Bottom",29,9975,10054,80,80,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_10_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_10_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_10_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_10_validity.npz,17,0.21250000000000002,0.21250000000000002,0.21250000000000002,0.575000,1.000000,0.575000,1.000000,0.000000,0.000000,0.294301,0.212500,80,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:10,41,1,1,10,10004,phase09_exact,lob,A,2,4,Top_lob,val
