label,class_name,support,predicted_count,true_positive,precision,recall,f1
0,none,50,213,40,0.18779342723004694,0.8,0.3041825095057034
1,Top_net shot,245,173,153,0.884393063583815,0.6244897959183674,0.7320574162679426
2,Top_return net,180,110,86,0.7818181818181819,0.4777777777777778,0.5931034482758621
3,Top_smash,192,232,173,0.7456896551724138,0.9010416666666666,0.8160377358490566
4,Top_lob,237,207,169,0.8164251207729468,0.7130801687763713,0.7612612612612611
5,Top_clear,158,182,147,0.8076923076923077,0.930379746835443,0.8647058823529412
6,Top_drive,70,74,32,0.43243243243243246,0.45714285714285713,0.4444444444444445
7,Top_drop,177,136,117,0.8602941176470589,0.6610169491525424,0.7476038338658146
8,Top_push,134,131,61,0.46564885496183206,0.4552238805970149,0.46037735849056605
9,Top_rush,29,37,23,0.6216216216216216,0.7931034482758621,0.696969696969697
10,Top_cross-court net shot,34,48,26,0.5416666666666666,0.7647058823529411,0.6341463414634146
11,Top_short service,76,79,67,0.8481012658227848,0.881578947368421,0.8645161290322582
12,Top_long service,25,71,15,0.2112676056338028,0.6,0.3125
13,Bottom_net shot,240,79,78,0.9873417721518988,0.325,0.48902821316614425
14,Bottom_return net,146,210,119,0.5666666666666667,0.815068493150685,0.6685393258426966
15,Bottom_smash,195,155,130,0.8387096774193549,0.6666666666666666,0.7428571428571428
16,Bottom_lob,251,161,152,0.9440993788819876,0.6055776892430279,0.7378640776699029
17,Bottom_clear,151,166,147,0.8855421686746988,0.9735099337748344,0.9274447949526813
18,Bottom_drive,105,107,64,0.5981308411214953,0.6095238095238096,0.6037735849056604
19,Bottom_drop,149,199,127,0.6381909547738693,0.8523489932885906,0.7298850574712643
20,Bottom_push,136,160,93,0.58125,0.6838235294117647,0.6283783783783784
21,Bottom_rush,16,27,12,0.4444444444444444,0.75,0.5581395348837209
22,Bottom_cross-court net shot,64,66,49,0.7424242424242424,0.765625,0.7538461538461539
23,Bottom_short service,83,90,82,0.9111111111111111,0.9879518072289156,0.9479768786127168
24,Bottom_long service,35,65,32,0.49230769230769234,0.9142857142857143,0.64
