evaluation_group,rows,labeled_rows,accuracy,top3_accuracy,player_side_accuracy,stroke_type_accuracy,macro_precision_supported,macro_recall_supported,macro_f1_supported,supported_class_count
all_candidates,3192,3192,0.6895363408521303,0.8778195488721805,0.9285714285714286,0.6911027568922306,0.6740148231645284,0.7170944656341457,0.6662222789641484,25
exact_label_all,3192,3192,0.6895363408521303,0.8778195488721805,0.9285714285714286,0.6911027568922306,0.6740148231645284,0.7170944656341457,0.6662222789641484,25
exact_label_clean,3178,3178,0.6903713027061045,0.8788546255506607,0.9304594084329767,0.6919446192573946,0.6734025308413351,0.7203569102975309,0.666385568014617,25
simultaneous_event_alias_diagnostic,14,14,0.5,0.6428571428571429,0.5,0.5,0.09722222222222222,0.12962962962962962,0.1111111111111111,6
reference_test_primary,2027,2027,0.6640355204736064,0.8643315244203256,0.9205722742969906,0.6660088801184015,0.664264144409134,0.6795524047643265,0.6407335311795882,25
reference_test_all_including_aliases,2039,2039,0.6625796959293772,0.8626777832270721,0.9176066699362433,0.6645414418832761,0.6646764063734867,0.6750217058709871,0.639559049626632,25
reference_val_diagnostic,1151,1151,0.736750651607298,0.9044309296264118,0.947871416159861,0.737619461337967,0.720421814154573,0.7850316477216026,0.7230313504213346,23
reference_val_all_including_aliases,1153,1153,0.7372072853425846,0.9045967042497832,0.9479618386816999,0.738074588031223,0.7217405125217141,0.7879301984462402,0.7250421171632526,23
exact_label_pose_dropout_lt_50,2978,2978,0.7038280725319006,0.8901947615849564,0.9422431161853593,0.7051712558764271,0.6762057337864708,0.7257713632436703,0.6724700019335991,25
reference_test_pose_dropout_lt_50,1873,1873,0.6764548852108916,0.8750667378537106,0.9321943406300054,0.6780565936999466,0.6654485538023244,0.6887900975464738,0.6459143619985828,25
exact_label_pose_dropout_lt_25,1687,1687,0.7771191464137522,0.9537640782454061,0.983402489626556,0.7777119146413752,0.7278524612689317,0.7739018464489034,0.7398265108762664,25
reference_test_pose_dropout_lt_25,1055,1055,0.7601895734597156,0.9497630331753555,0.9838862559241706,0.7611374407582938,0.7173164172949182,0.738101097993781,0.7148267791407086,25
exact_label_all_pose_missing,0,0,0.0,,,,,,,0
reference_test_top_pose_valid_ge_75,760,760,0.7671052631578947,0.9578947368421052,0.993421052631579,0.7684210526315789,0.7584054884602972,0.7864449943189779,0.7580196777930478,24
reference_test_top_pose_valid_lt_50,951,951,0.5604626708727655,0.7707676130389064,0.8517350157728707,0.5636172450052577,0.5962096114603065,0.5704615122472919,0.5232413463291485,25
reference_test_bottom_pose_valid_ge_75,1981,1981,0.6658253407370015,0.8667339727410399,0.9262998485613326,0.6678445229681979,0.6605909626151072,0.6792819921846719,0.6381749633881134,25
reference_test_both_pose_missing_lt_10,1973,1973,0.6670045615813482,0.8661936137861125,0.9280283831728332,0.6690319310694374,0.6622518048768969,0.682088066028752,0.6384759679739023,25
exact_label_video_41,1151,1151,0.736750651607298,0.9044309296264118,0.947871416159861,0.737619461337967,0.720421814154573,0.7850316477216026,0.7230313504213346,23
exact_label_video_42,619,619,0.6397415185783522,0.851373182552504,0.8949919224555735,0.6413570274636511,0.659988457506779,0.6689421253960295,0.6120258501122039,25
exact_label_video_43,550,550,0.5327272727272727,0.7418181818181818,0.8472727272727273,0.5363636363636364,0.5699286410577425,0.5939897275905831,0.47843012957654335,24
exact_label_video_44,858,858,0.7657342657342657,0.9522144522144522,0.986013986013986,0.7668997668997669,0.7114325673851188,0.7897622555788654,0.725162406211044,25
