n,pattern,support_count,support_frac
2,net_shot -> lob,1796,0.48765
2,net_shot -> net_shot,1136,0.30844
2,smash -> defensive_net,1116,0.30301
2,lob -> smash,994,0.26989
2,defensive_net -> net_shot,951,0.25821
2,lob -> clear,912,0.24762
2,short_service -> net_shot,868,0.23568
2,lob -> drop,793,0.21531
2,tap_smash -> defensive_net,784,0.21287
2,drop -> net_shot,768,0.20853
2,net_shot -> push,628,0.17051
2,lob -> tap_smash,617,0.16753
2,defensive_net -> lob,612,0.16617
2,clear -> smash,599,0.16264
2,short_service -> push,564,0.15314
2,push -> clear,559,0.15178
2,defensive_net -> push,549,0.14906
2,clear -> drop,459,0.12463
2,clear -> clear,440,0.11947
2,short_service -> lob,434,0.11784
2,transition_drop -> net_shot,432,0.1173
2,push -> transition_drop,419,0.11377
2,cross_net -> lob,411,0.11159
2,clear -> tap_smash,390,0.10589
2,cross_net -> net_shot,387,0.10508
2,lob -> transition_drop,378,0.10263
2,unknown -> net_shot,343,0.09313
2,drop -> lob,328,0.08906
2,push -> smash,290,0.07874
2,defensive_net -> cross_net,251,0.06815
2,push -> drop,248,0.06734
2,clear -> transition_drop,236,0.06408
2,backcourt_drive -> defensive_net,234,0.06354
2,push -> tap_smash,232,0.06299
2,net_shot -> cross_net,229,0.06218
2,push -> backcourt_drive,218,0.05919
2,drop -> cross_net,210,0.05702
2,drive -> defensive_net,208,0.05648
2,transition_drop -> push,206,0.05593
2,unknown -> lob,196,0.05322
3,net_shot -> net_shot -> lob,747,0.20282
3,net_shot -> lob -> smash,667,0.1811
3,lob -> smash -> defensive_net,628,0.17051
3,net_shot -> lob -> clear,537,0.14581
3,net_shot -> lob -> drop,496,0.13467
3,lob -> drop -> net_shot,478,0.12979
3,defensive_net -> net_shot -> lob,468,0.12707
3,lob -> tap_smash -> defensive_net,424,0.11512
3,smash -> defensive_net -> net_shot,411,0.11159
3,short_service -> net_shot -> lob,403,0.10942
3,clear -> smash -> defensive_net,347,0.09422
