,none,Top_net shot,Top_return net,Top_smash,Top_lob,Top_clear,Top_drive,Top_drop,Top_push,Top_rush,Top_cross-court net shot,Top_short service,Top_long service,Bottom_net shot,Bottom_return net,Bottom_smash,Bottom_lob,Bottom_clear,Bottom_drive,Bottom_drop,Bottom_push,Bottom_rush,Bottom_cross-court net shot,Bottom_short service,Bottom_long service
none,0.0,0.1,0.0,0.04,0.06,0.06,0.0,0.06,0.18,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.06,0.02,0.0,0.04,0.18,0.0,0.0,0.0,0.0
Top_net shot,0.0,0.0,0.004524886877828055,0.0,0.00904977375565611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28054298642533937,0.0,0.0,0.4660633484162896,0.0,0.004524886877828055,0.0,0.1583710407239819,0.02262443438914027,0.05429864253393665,0.0,0.0
Top_return net,0.0,0.008130081300813009,0.0,0.0,0.016260162601626018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764227642276423,0.016260162601626018,0.0,0.3008130081300813,0.0,0.016260162601626018,0.0,0.25203252032520324,0.04065040650406504,0.06504065040650407,0.0,0.008130081300813009
Top_smash,0.0,0.04504504504504504,0.0,0.0,0.018018018018018018,0.0,0.0,0.0,0.02702702702702703,0.0,0.018018018018018018,0.0,0.0,0.036036036036036036,0.6486486486486487,0.0,0.02702702702702703,0.0,0.13513513513513514,0.0,0.0,0.0,0.04504504504504504,0.0,0.0
Top_lob,0.0,0.0,0.009302325581395349,0.0,0.004651162790697674,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.009302325581395349,0.0,0.3581395348837209,0.0,0.2651162790697674,0.07906976744186046,0.2651162790697674,0.0,0.0,0.0,0.004651162790697674,0.0
Top_clear,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.0,0.2986111111111111,0.006944444444444444,0.3125,0.0,0.0,0.0,0.0,0.0
Top_drive,0.0,0.0625,0.0,0.0,0.041666666666666664,0.0,0.020833333333333332,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.020833333333333332,0.2708333333333333,0.10416666666666667,0.0625,0.041666666666666664,0.22916666666666666,0.08333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0
Top_drop,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40540540540540543,0.0,0.013513513513513514,0.27702702702702703,0.0,0.0,0.0,0.14864864864864866,0.02027027027027027,0.12837837837837837,0.0,0.0
Top_push,0.0,0.0,0.03508771929824561,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.14035087719298245,0.0,0.3333333333333333,0.20175438596491227,0.2719298245614035,0.0,0.0,0.0,0.0,0.0
Top_rush,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
