n,pattern,support_count,support_frac
2,net_shot -> lob,1796,0.487645940809123
2,net_shot -> net_shot,1136,0.30844420309530274
2,smash -> defensive_net,1116,0.30301384740700515
2,lob -> smash,994,0.2698886777083899
2,defensive_net -> net_shot,951,0.2582134129785501
2,lob -> clear,912,0.2476242193863698
2,short_service -> net_shot,868,0.23567743687211512
2,lob -> drop,793,0.2153136030409992
2,tap_smash -> defensive_net,784,0.21286994298126527
2,drop -> net_shot,768,0.2085256584306272
2,net_shot -> push,628,0.17051316861254412
2,lob -> tap_smash,617,0.16752647298398046
2,defensive_net -> lob,612,0.16616888406190605
2,clear -> smash,599,0.16263915286451264
2,short_service -> push,564,0.15313603040999185
2,push -> clear,559,0.15177844148791747
2,defensive_net -> push,549,0.14906326364376868
2,clear -> drop,459,0.12462666304642954
2,clear -> clear,440,0.11946782514254684
2,short_service -> lob,434,0.11783871843605756
2,transition_drop -> net_shot,432,0.1172956828672278
2,push -> transition_drop,419,0.11376595166983437
2,cross_net -> lob,411,0.11159380939451534
2,clear -> tap_smash,390,0.10589193592180288
2,cross_net -> net_shot,387,0.10507738256855824
2,lob -> transition_drop,378,0.10263372250882433
2,unknown -> net_shot,343,0.09313060005430356
2,drop -> lob,328,0.08905783328808037
2,push -> smash,290,0.07874015748031496
2,defensive_net -> cross_net,251,0.06815096388813467
2,push -> drop,248,0.06733641053489003
2,clear -> transition_drop,236,0.06407819712191148
2,backcourt_drive -> defensive_net,234,0.06353516155308173
2,push -> tap_smash,232,0.06299212598425197
2,net_shot -> cross_net,229,0.06217757263100733
2,push -> backcourt_drive,218,0.05919087700244366
2,drop -> cross_net,210,0.057018734727124626
2,drive -> defensive_net,208,0.05647569915829487
2,transition_drop -> push,206,0.05593266358946511
2,unknown -> lob,196,0.05321748574531632
3,net_shot -> net_shot -> lob,747,0.20282378495791475
3,net_shot -> lob -> smash,667,0.18110236220472442
3,lob -> smash -> defensive_net,628,0.17051316861254412
3,net_shot -> lob -> clear,537,0.14580505023079013
3,net_shot -> lob -> drop,496,0.13467282106978007
3,lob -> drop -> net_shot,478,0.12978550095031224
3,defensive_net -> net_shot -> lob,468,0.12707032310616345
3,lob -> tap_smash -> defensive_net,424,0.11512354059190877
3,smash -> defensive_net -> net_shot,411,0.11159380939451534
3,short_service -> net_shot -> lob,403,0.1094216671191963
3,clear -> smash -> defensive_net,347,0.09421667119196307
3,net_shot -> lob -> tap_smash,333,0.09041542221015476
3,drop -> net_shot -> lob,332,0.09014390442573988
3,net_shot -> net_shot -> net_shot,331,0.089872386641325
3,tap_smash -> defensive_net -> net_shot,324,0.08797176215042085
3,defensive_net -> net_shot -> net_shot,316,0.08579961987510182
3,drop -> net_shot -> net_shot,301,0.08172685310887863
3,short_service -> net_shot -> net_shot,283,0.0768395329894108
3,lob -> clear -> smash,270,0.07330980179201738
3,lob -> clear -> clear,252,0.06842248167254955
3,smash -> defensive_net -> lob,244,0.06625033939723052
3,smash -> defensive_net -> push,237,0.06434971490632636
3,clear -> tap_smash -> defensive_net,235,0.0638066793374966
3,lob -> clear -> drop,224,0.060819983708932934
3,tap_smash -> defensive_net -> lob,208,0.05647569915829487
3,clear -> drop -> net_shot,205,0.05566114580505023
3,lob -> clear -> tap_smash,201,0.05457507466739071
3,transition_drop -> net_shot -> lob,195,0.05294596796090144
3,net_shot -> lob -> transition_drop,193,0.05240293239207168
3,defensive_net -> lob -> clear,185,0.05023079011675265
3,push -> clear -> smash,183,0.04968775454792289
3,lob -> transition_drop -> net_shot,182,0.04941623676350801
3,net_shot -> push -> clear,177,0.04805864784143361
3,cross_net -> net_shot -> lob,176,0.047787130057018734
3,tap_smash -> defensive_net -> push,176,0.047787130057018734
3,transition_drop -> net_shot -> net_shot,174,0.047244094488188976
3,push -> smash -> defensive_net,173,0.0469725767037741
3,push -> transition_drop -> net_shot,170,0.04615802335052946
3,unknown -> net_shot -> lob,163,0.044257398859625305
3,lob -> drop -> lob,160,0.04344284550638067
4,net_shot -> lob -> smash -> defensive_net,411,0.11159380939451534
4,net_shot -> lob -> drop -> net_shot,274,0.07439587292967689
4,net_shot -> net_shot -> lob -> smash,267,0.07249524843877274
4,lob -> smash -> defensive_net -> net_shot,242,0.06570730382840076
4,net_shot -> lob -> tap_smash -> defensive_net,232,0.06299212598425197
4,smash -> defensive_net -> net_shot -> lob,210,0.057018734727124626
4,lob -> drop -> net_shot -> lob,194,0.05267445017648656
4,lob -> drop -> net_shot -> net_shot,190,0.05158837903882704
4,lob -> tap_smash -> defensive_net -> net_shot,188,0.051045343469997284
4,net_shot -> net_shot -> net_shot -> lob,179,0.04860168341026337
4,drop -> net_shot -> net_shot -> lob,177,0.04805864784143361
4,net_shot -> net_shot -> lob -> drop,163,0.044257398859625305
4,lob -> clear -> smash -> defensive_net,156,0.04235677436872115
4,tap_smash -> defensive_net -> net_shot -> lob,155,0.04208525658430627
4,defensive_net -> net_shot -> net_shot -> lob,152,0.041270703231061634
4,net_shot -> net_shot -> lob -> clear,152,0.041270703231061634
4,short_service -> net_shot -> net_shot -> lob,146,0.03964159652457236
4,lob -> smash -> defensive_net -> lob,143,0.03882704317132772
4,net_shot -> lob -> clear -> smash,135,0.03665490089600869
4,defensive_net -> net_shot -> lob -> clear,135,0.03665490089600869
4,short_service -> net_shot -> lob -> smash,124,0.03366820526744502
4,defensive_net -> net_shot -> lob -> drop,124,0.03366820526744502
4,net_shot -> lob -> clear -> clear,123,0.03339668748303014
4,net_shot -> lob -> clear -> drop,122,0.03312516969861526
4,lob -> smash -> defensive_net -> push,120,0.0325821341297855
4,lob -> clear -> tap_smash -> defensive_net,119,0.03231061634537062
4,lob -> clear -> drop -> net_shot,115,0.031224545207711105
4,defensive_net -> net_shot -> lob -> smash,115,0.031224545207711105
4,net_shot -> lob -> clear -> tap_smash,115,0.031224545207711105
4,smash -> defensive_net -> net_shot -> net_shot,113,0.030681509638881346
4,tap_smash -> defensive_net -> net_shot -> net_shot,113,0.030681509638881346
4,net_shot -> net_shot -> lob -> tap_smash,111,0.030138474070051588
4,push -> clear -> smash -> defensive_net,103,0.027966331794732555
4,defensive_net -> lob -> smash -> defensive_net,102,0.027694814010317675
4,drop -> net_shot -> lob -> clear,100,0.027151778441487917
4,net_shot -> lob -> transition_drop -> net_shot,99,0.026880260657073038
4,clear -> drop -> net_shot -> lob,95,0.02579418951941352
4,net_shot -> lob -> drop -> lob,95,0.02579418951941352
4,lob -> tap_smash -> defensive_net -> lob,95,0.02579418951941352
4,defensive_net -> net_shot -> net_shot -> net_shot,94,0.025522671734998642
