opening,support_count,support_frac,server_win_rate
short_service -> net_shot -> lob,403,0.12212121212121212,0.4913151364764268
short_service -> net_shot -> net_shot,283,0.08575757575757575,0.49823321554770317
unknown -> net_shot -> lob,156,0.04727272727272727,0.44871794871794873
short_service -> push -> clear,120,0.03636363636363636,0.375
short_service -> net_shot -> push,113,0.03424242424242424,0.4424778761061947
unknown -> net_shot -> net_shot,108,0.03272727272727273,0.48148148148148145
short_service -> lob -> clear,107,0.032424242424242425,0.4672897196261682
short_service -> push -> transition_drop,96,0.02909090909090909,0.5104166666666666
short_service -> lob -> drop,94,0.028484848484848484,0.43617021276595747
short_service -> lob -> smash,71,0.021515151515151515,0.5352112676056338
short_service -> lob -> tap_smash,70,0.021212121212121213,0.6
long_service -> smash -> defensive_net,67,0.020303030303030302,0.5074626865671642
short_service -> push -> smash,66,0.02,0.48484848484848486
short_service -> push -> drop,60,0.01818181818181818,0.5833333333333334
short_service -> push -> tap_smash,57,0.017272727272727273,0.45614035087719296
short_service -> push -> backcourt_drive,56,0.01696969696969697,0.5
long_service -> tap_smash -> defensive_net,49,0.014848484848484849,0.4489795918367347
short_service -> cross_net -> net_shot,47,0.014242424242424242,0.425531914893617
short_service -> lob -> transition_drop,44,0.013333333333333334,0.36363636363636365
short_service -> cross_net -> lob,42,0.012727272727272728,0.40476190476190477
unknown -> lob -> clear,42,0.012727272727272728,0.5952380952380952
unknown -> net_shot -> push,40,0.012121212121212121,0.55
unknown -> smash -> defensive_net,38,0.011515151515151515,0.4473684210526316
unknown -> lob -> tap_smash,38,0.011515151515151515,0.47368421052631576
unknown -> push -> clear,38,0.011515151515151515,0.4473684210526316
short_service -> push -> drive,33,0.01,0.45454545454545453
