,none,Top_net shot,Top_return net,Top_smash,Top_lob,Top_clear,Top_drive,Top_drop,Top_push,Top_rush,Top_cross-court net shot,Top_short service,Top_long service,Bottom_net shot,Bottom_return net,Bottom_smash,Bottom_lob,Bottom_clear,Bottom_drive,Bottom_drop,Bottom_push,Bottom_rush,Bottom_cross-court net shot,Bottom_short service,Bottom_long service
none,0.20441988950276244,0.048176795580110496,0.0055248618784530384,0.028950276243093924,0.05944751381215469,0.010276243093922652,0.011049723756906077,0.06895027624309392,0.16342541436464086,0.011049723756906077,0.0055248618784530384,0.0,0.049723756906077346,0.06342541436464089,0.0055248618784530384,0.05922651933701657,0.007624309392265192,0.03734806629834254,0.03314917127071823,0.05392265193370165,0.09160220994475138,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.027624309392265192
Top_net shot,0.05555555555555555,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1012183945226158,0.0,0.0,0.08453285891422718,0.0,0.008733624454148471,0.0,0.13111218933635235,0.0033155426168526604,0.007385842902582353,0.006172839506172839,0.006172839506172839
Top_return net,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14407649852393786,0.04864587344371711,0.012578616352201259,0.09934539853677318,0.01020408163265306,0.02599152868694648,0.0,0.10794506481838018,0.027403414195867025,0.012450263124117567,0.0,0.024322936721858555
Top_smash,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04697986577181208,0.07829977628635354,0.0,0.004077361622284767,0.005376344086021506,0.02973226528108537,0.0,0.021505376344086023,0.0,0.026953886122537345,0.0,0.005376344086021506
Top_lob,0.024752475247524754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01485148514851485,0.009216589861751152,0.0,0.02178674088607019,0.0,0.054752018980699896,0.052904138340101284,0.09871332755395357,0.0,0.0,0.0,0.0003422001186293745,0.0
Top_clear,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0058823529411764705,0.13488562091503264,0.0,0.024918300653594794,0.0010620915032679736,0.04044117647058826,0.0,0.0,0.0,0.0,0.0058823529411764705
Top_drive,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.09927634554500225,0.03165988240615107,0.04568068747173225,0.000452284034373588,0.07914970601537766,0.014020805065581177,0.015151515151515152,0.014925373134328358,0.07440072365445499,0.0,0.0
Top_drop,0.08264462809917356,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29338842975206614,0.1322314049586777,0.012987012987012988,0.033057851239669395,0.008264462809917356,0.024793388429752067,0.008264462809917356,0.002361275088547804,0.046635182998819365,0.002361275088547804,0.0,0.03305785123966942
Top_push,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0196078431372549,0.02359587902957793,0.0910601528747092,0.029411764705882353,0.05599867065470254,0.005982053838484547,0.01761382519109342,0.0196078431372549,0.0,0.029411764705882353,0.0,0.0
Top_rush,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025575447570332477,0.0,0.0025575447570332643,0.0,0.1969309462915601,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
