,none,Top_net shot,Top_return net,Top_smash,Top_lob,Top_clear,Top_drive,Top_drop,Top_push,Top_rush,Top_cross-court net shot,Top_short service,Top_long service,Bottom_net shot,Bottom_return net,Bottom_smash,Bottom_lob,Bottom_clear,Bottom_drive,Bottom_drop,Bottom_push,Bottom_rush,Bottom_cross-court net shot,Bottom_short service,Bottom_long service
none,0.0,0.12,0.0,0.04,0.04,0.06,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.08,0.0,0.12,0.02,0.04,0.0,0.04,0.18,0.0,0.0,0.0,0.0
Top_net shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2925764192139738,0.0,0.0,0.4672489082969432,0.0,0.008733624454148471,0.0,0.15283842794759825,0.021834061135371178,0.056768558951965066,0.0,0.0
Top_return net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27672955974842767,0.012578616352201259,0.012578616352201259,0.2830188679245283,0.0,0.05660377358490566,0.0,0.2389937106918239,0.0440251572327044,0.06918238993710692,0.0,0.006289308176100629
Top_smash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04697986577181208,0.7449664429530202,0.0,0.03355704697986577,0.0,0.12080536912751678,0.0,0.0,0.0,0.053691275167785234,0.0,0.0
Top_lob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009216589861751152,0.0,0.37327188940092165,0.0,0.2626728110599078,0.08755760368663594,0.2626728110599078,0.0,0.0,0.0,0.004608294930875576,0.0
Top_clear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3819444444444444,0.0,0.2986111111111111,0.006944444444444444,0.3125,0.0,0.0,0.0,0.0,0.0
Top_drive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.3484848484848485,0.12121212121212122,0.06060606060606061,0.030303030303030304,0.30303030303030304,0.06060606060606061,0.015151515151515152,0.0,0.015151515151515152,0.0,0.0
Top_drop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.012987012987012988,0.2727272727272727,0.0,0.0,0.0,0.14285714285714285,0.01948051948051948,0.14285714285714285,0.0,0.0
Top_push,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025423728813559324,0.1694915254237288,0.0,0.3305084745762712,0.211864406779661,0.2627118644067797,0.0,0.0,0.0,0.0,0.0
Top_rush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.17647058823529413,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0
Top_cross-court net shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.0,0.15625,0.0,0.21875,0.0,0.0
Top_short service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.2894736842105263,0.013157894736842105,0.013157894736842105,0.0,0.0
Top_long service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.16,0.0,0.28,0.0,0.0,0.0,0.0,0.0
Bottom_net shot,0.0,0.2616822429906542,0.0,0.0,0.49065420560747663,0.0,0.009345794392523364,0.0,0.19158878504672897,0.018691588785046728,0.028037383177570093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_return net,0.0,0.30158730158730157,0.0,0.0,0.30158730158730157,0.0,0.015873015873015872,0.0,0.20634920634920634,0.10317460317460317,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_smash,0.00684931506849315,0.02054794520547945,0.8082191780821918,0.0,0.0410958904109589,0.0,0.0821917808219178,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_lob,0.0,0.0,0.0041841004184100415,0.37656903765690375,0.0,0.2594142259414226,0.05439330543933055,0.3054393305439331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_clear,0.0,0.0,0.0,0.391304347826087,0.0,0.2898550724637681,0.021739130434782608,0.2971014492753623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_drive,0.0,0.0425531914893617,0.46808510638297873,0.05319148936170213,0.02127659574468085,0.07446808510638298,0.19148936170212766,0.0425531914893617,0.05319148936170213,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_drop,0.0,0.5597014925373134,0.0,0.007462686567164179,0.208955223880597,0.0,0.0,0.0,0.11940298507462686,0.03731343283582089,0.06716417910447761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_push,0.0,0.0,0.09016393442622951,0.14754098360655737,0.0,0.3114754098360656,0.12295081967213115,0.32786885245901637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_rush,0.0,0.0,0.45454545454545453,0.0,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_cross-court net shot,0.01694915254237288,0.3220338983050847,0.01694915254237288,0.0,0.4745762711864407,0.0,0.0,0.0,0.11864406779661017,0.01694915254237288,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_short service,0.0,0.40963855421686746,0.0,0.0,0.27710843373493976,0.0,0.0,0.0,0.27710843373493976,0.012048192771084338,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_long service,0.0,0.0,0.0,0.5757575757575758,0.0,0.15151515151515152,0.0,0.24242424242424243,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
