video_id,rally_id,event_rank,event_frame_original,prev_event_frame_original,next_event_frame_original,window_start_original,window_end_original,event_offset_frames,frame_count,window_strategy,clip_id,reference_frame_count,frame_count_abs_error
40,2,1,12159,,12223,12144,12210,15,67,bst-compatible,40_1_1_1,67,0
40,2,2,12223,12159,12236,12178,12242,45,65,bst-compatible,40_1_1_2,66,1
40,2,3,12236,12223,12261,12223,12267,13,45,bst-compatible,40_1_1_3,45,0
40,2,4,12261,12236,12291,12236,12297,25,62,bst-compatible,40_1_1_4,63,1
40,2,5,12291,12261,12315,12261,12321,30,61,bst-compatible,40_1_1_5,61,0
40,2,6,12315,12291,12357,12291,12363,24,73,bst-compatible,40_1_1_6,73,0
40,2,7,12357,12315,12380,12315,12386,42,72,bst-compatible,40_1_1_7,73,1
40,2,8,12380,12357,12412,12357,12418,23,62,bst-compatible,40_1_1_8,62,0
40,2,9,12412,12380,,12380,12426,32,47,bst-compatible,40_1_1_9,48,1
40,3,1,12779,,12839,12764,12830,15,67,bst-compatible,40_1_2_1,68,1
40,3,2,12839,12779,12852,12794,12858,45,65,bst-compatible,40_1_2_2,66,1
40,3,3,12852,12839,12876,12839,12882,13,44,bst-compatible,40_1_2_3,45,1
40,3,4,12876,12852,12892,12852,12898,24,47,bst-compatible,40_1_2_4,47,0
40,3,5,12892,12876,,12876,12906,16,31,bst-compatible,40_1_2_5,31,0
40,4,1,13666,,13727,13651,13717,15,67,bst-compatible,40_1_3_1,67,0
40,4,2,13727,13666,13746,13682,13752,45,71,bst-compatible,40_1_3_2,72,1
40,4,3,13746,13727,,13727,13760,19,34,bst-compatible,40_1_3_3,35,1
40,5,1,14100,,14158,14085,14151,15,67,bst-compatible,40_1_4_1,67,0
40,5,2,14158,14100,14180,14113,14186,45,74,bst-compatible,40_1_4_2,75,1
40,5,3,14180,14158,14212,14158,14218,22,61,bst-compatible,40_1_4_3,61,0
40,5,4,14212,14180,,14180,14226,32,47,bst-compatible,40_1_4_4,48,1
40,6,1,14556,,14612,14541,14607,15,67,bst-compatible,40_1_5_1,67,0
40,6,2,14612,14556,14638,14567,14644,45,78,bst-compatible,40_1_5_2,79,1
40,6,3,14638,14612,14671,14612,14677,26,66,bst-compatible,40_1_5_3,67,1
40,6,4,14671,14638,,14638,14685,33,48,bst-compatible,40_1_5_4,49,1
40,7,1,15208,,15271,15193,15259,15,67,bst-compatible,40_1_6_1,67,0
40,7,2,15271,15208,15286,15226,15292,45,67,bst-compatible,40_1_6_2,67,0
40,7,3,15286,15271,,15271,15300,15,30,bst-compatible,40_1_6_3,30,0
40,8,1,15661,,15721,15646,15712,15,67,bst-compatible,40_1_7_1,67,0
40,8,2,15721,15661,15733,15676,15739,45,64,bst-compatible,40_1_7_2,64,0
40,8,3,15733,15721,15759,15721,15765,12,45,bst-compatible,40_1_7_3,45,0
40,8,4,15759,15733,15785,15733,15791,26,59,bst-compatible,40_1_7_4,60,1
40,8,5,15785,15759,15817,15759,15823,26,65,bst-compatible,40_1_7_5,65,0
40,8,6,15817,15785,15829,15785,15835,32,51,bst-compatible,40_1_7_6,52,1
40,8,7,15829,15817,15854,15817,15860,12,44,bst-compatible,40_1_7_7,45,1
40,8,8,15854,15829,15874,15829,15880,25,52,bst-compatible,40_1_7_8,52,0
40,8,9,15874,15854,15904,15854,15910,20,57,bst-compatible,40_1_7_9,57,0
40,8,10,15904,15874,,15874,15918,30,45,bst-compatible,40_1_7_10,45,0
40,9,1,16382,,16443,16367,16433,15,67,bst-compatible,40_1_8_1,68,1
40,9,2,16443,16382,16466,16398,16472,45,75,bst-compatible,40_1_8_2,75,0
40,9,3,16466,16443,16491,16443,16497,23,55,bst-compatible,40_1_8_3,55,0
40,9,4,16491,16466,,16466,16505,25,40,bst-compatible,40_1_8_4,41,1
40,10,1,16906,,16931,16891,16937,15,47,bst-compatible,40_1_9_2,67,20
40,10,2,16931,16906,16957,16906,16963,25,58,bst-compatible,40_1_9_3,58,0
40,10,3,16957,16931,16998,16931,17004,26,74,bst-compatible,40_1_9_4,75,1
40,10,4,16998,16957,17023,16957,17029,41,73,bst-compatible,40_1_9_5,73,0
40,10,5,17023,16998,17053,16998,17059,25,62,bst-compatible,40_1_9_6,62,0
40,10,6,17053,17023,17098,17023,17104,30,82,bst-compatible,40_1_9_7,82,0
40,10,7,17098,17053,17115,17053,17121,45,69,bst-compatible,40_1_9_8,69,0
40,10,8,17115,17098,17140,17098,17146,17,49,bst-compatible,40_1_9_9,49,0
40,10,9,17140,17115,,17115,17154,25,40,bst-compatible,40_1_9_10,40,0
40,12,1,18218,,18281,18203,18269,15,67,bst-compatible,40_1_10_1,68,1
40,12,2,18281,18218,18315,18236,18321,45,86,bst-compatible,40_1_10_2,87,1
40,12,3,18315,18281,18329,18281,18335,34,55,bst-compatible,40_1_10_3,56,1
40,12,4,18329,18315,18362,18315,18368,14,54,bst-compatible,40_1_10_4,55,1
40,12,5,18362,18329,18400,18329,18406,33,78,bst-compatible,40_1_10_5,79,1
40,12,6,18400,18362,18440,18362,18446,38,85,bst-compatible,40_1_10_6,86,1
40,12,7,18440,18400,18472,18400,18478,40,79,bst-compatible,40_1_10_7,79,0
40,12,8,18472,18440,18519,18440,18523,32,84,bst-compatible,40_1_10_8,85,1
40,12,9,18519,18472,18547,18474,18553,45,80,bst-compatible,40_1_10_9,80,0
40,12,10,18547,18519,18576,18519,18582,28,64,bst-compatible,40_1_10_10,64,0
40,12,11,18576,18547,,18547,18590,29,44,bst-compatible,40_1_10_11,45,1
40,13,1,19025,,19082,19010,19076,15,67,bst-compatible,40_1_11_1,68,1
40,13,2,19082,19025,19097,19037,19103,45,67,bst-compatible,40_1_11_2,68,1
40,13,3,19097,19082,19120,19082,19126,15,45,bst-compatible,40_1_11_3,45,0
40,13,4,19120,19097,19150,19097,19156,23,60,bst-compatible,40_1_11_4,60,0
40,13,5,19150,19120,19165,19120,19171,30,52,bst-compatible,40_1_11_5,52,0
40,13,6,19165,19150,19199,19150,19205,15,56,bst-compatible,40_1_11_6,57,1
40,13,7,19199,19165,19214,19165,19220,34,56,bst-compatible,40_1_11_7,57,1
40,13,8,19214,19199,19229,19199,19235,15,37,bst-compatible,40_1_11_8,38,1
40,13,9,19229,19214,19252,19214,19258,15,45,bst-compatible,40_1_11_9,45,0
40,13,10,19252,19229,19281,19229,19287,23,59,bst-compatible,40_1_11_10,60,1
40,13,11,19281,19252,19316,19252,19322,29,71,bst-compatible,40_1_11_11,72,1
40,13,12,19316,19281,19352,19281,19358,35,78,bst-compatible,40_1_11_12,79,1
40,13,13,19352,19316,19379,19316,19385,36,70,bst-compatible,40_1_11_13,71,1
40,13,14,19379,19352,19414,19352,19420,27,69,bst-compatible,40_1_11_14,69,0
40,13,15,19414,19379,19425,19379,19431,35,53,bst-compatible,40_1_11_15,54,1
40,13,16,19425,19414,,19414,19439,11,26,bst-compatible,40_1_11_16,27,1
