Frame,Visibility,X,Y,OriginalFrame,TimeSec
0,1,728,358,73950,2465.0
1,1,698,330,73951,2465.033333
2,1,678,302,73952,2465.066667
3,1,680,302,73953,2465.1
4,1,652,282,73954,2465.133333
5,1,652,402,73955,2465.166667
6,1,618,255,73956,2465.2
7,1,605,245,73957,2465.233333
8,1,592,238,73958,2465.266667
9,1,592,238,73959,2465.3
10,1,582,232,73960,2465.333333
11,1,572,228,73961,2465.366667
12,1,565,225,73962,2465.4
13,1,552,228,73963,2465.433333
14,1,542,250,73964,2465.466667
15,1,545,250,73965,2465.5
16,1,532,272,73966,2465.533333
17,1,525,290,73967,2465.566667
18,1,518,310,73968,2465.6
19,1,510,325,73969,2465.633333
20,1,502,342,73970,2465.666667
21,1,502,342,73971,2465.7
22,1,498,360,73972,2465.733333
23,1,490,378,73973,2465.766667
24,1,485,395,73974,2465.8
25,1,480,412,73975,2465.833333
26,1,475,430,73976,2465.866667
27,1,475,428,73977,2465.9
28,1,472,415,73978,2465.933333
29,1,472,390,73979,2465.966667
30,1,478,365,73980,2466.0
31,1,480,345,73981,2466.033333
32,1,482,335,73982,2466.066667
33,1,482,335,73983,2466.1
34,1,485,325,73984,2466.133333
35,1,485,318,73985,2466.166667
36,1,485,310,73986,2466.2
37,1,485,302,73987,2466.233333
38,1,488,300,73988,2466.266667
39,1,488,300,73989,2466.3
40,1,490,298,73990,2466.333333
41,1,490,295,73991,2466.366667
42,1,492,298,73992,2466.4
43,1,492,298,73993,2466.433333
44,1,492,300,73994,2466.466667
45,1,498,302,73995,2466.5
46,1,498,302,73996,2466.533333
47,1,498,310,73997,2466.566667
48,1,500,315,73998,2466.6
49,1,502,320,73999,2466.633333
50,1,510,318,74000,2466.666667
51,1,510,318,74001,2466.7
52,1,515,310,74002,2466.733333
53,1,520,305,74003,2466.766667
54,1,522,302,74004,2466.8
55,1,528,300,74005,2466.833333
56,1,530,300,74006,2466.866667
57,1,532,302,74007,2466.9
58,1,538,300,74008,2466.933333
59,0,0,0,74009,2466.966667
60,1,595,320,74010,2467.0
61,0,0,0,74011,2467.033333
62,0,0,0,74012,2467.066667
63,1,552,310,74013,2467.1
64,1,555,318,74014,2467.133333
65,1,558,325,74015,2467.166667
66,0,0,0,74016,2467.2
67,0,0,0,74017,2467.233333
68,0,0,0,74018,2467.266667
69,0,0,0,74019,2467.3
70,0,0,0,74020,2467.333333
71,0,0,0,74021,2467.366667
72,1,560,340,74022,2467.4
73,1,560,342,74023,2467.433333
74,1,558,348,74024,2467.466667
75,1,560,348,74025,2467.5
76,1,560,355,74026,2467.533333
77,1,558,362,74027,2467.566667
78,1,560,372,74028,2467.6
79,1,560,385,74029,2467.633333
80,1,560,395,74030,2467.666667
81,1,560,395,74031,2467.7
82,1,558,408,74032,2467.733333
83,1,558,420,74033,2467.766667
84,1,558,430,74034,2467.8
85,1,558,428,74035,2467.833333
86,1,555,425,74036,2467.866667
87,1,558,340,74037,2467.9
88,0,0,0,74038,2467.933333
89,0,0,0,74039,2467.966667
90,1,555,425,74040,2468.0
91,1,555,428,74041,2468.033333
92,1,552,430,74042,2468.066667
93,1,555,430,74043,2468.1
94,1,552,432,74044,2468.133333
95,1,552,432,74045,2468.166667
96,0,0,0,74046,2468.2
97,0,0,0,74047,2468.233333
98,0,0,0,74048,2468.266667
99,1,550,430,74049,2468.3
100,1,548,430,74050,2468.333333
101,1,548,430,74051,2468.366667
102,1,575,332,74052,2468.4
103,1,575,332,74053,2468.433333
104,1,575,335,74054,2468.466667
105,1,578,332,74055,2468.5
106,1,578,332,74056,2468.533333
107,0,0,0,74057,2468.566667
108,1,548,302,74058,2468.6
109,1,575,335,74059,2468.633333
110,1,575,335,74060,2468.666667
111,1,572,335,74061,2468.7
112,1,572,335,74062,2468.733333
113,1,572,335,74063,2468.766667
114,1,570,295,74064,2468.8
115,0,0,0,74065,2468.833333
116,0,0,0,74066,2468.866667
117,1,528,432,74067,2468.9
118,1,520,430,74068,2468.933333
119,1,510,425,74069,2468.966667
120,1,1218,230,74070,2469.0
121,0,0,0,74071,2469.033333
122,0,0,0,74072,2469.066667
123,1,288,392,74073,2469.1
124,0,0,0,74074,2469.133333
125,1,350,655,74075,2469.166667
126,0,0,0,74076,2469.2
127,0,0,0,74077,2469.233333
128,0,0,0,74078,2469.266667
129,1,775,288,74079,2469.3
130,0,0,0,74080,2469.333333
131,0,0,0,74081,2469.366667
132,1,845,302,74082,2469.4
133,0,0,0,74083,2469.433333
134,1,502,560,74084,2469.466667
135,1,932,675,74085,2469.5
136,0,0,0,74086,2469.533333
137,1,572,568,74087,2469.566667
138,1,458,55,74088,2469.6
139,0,0,0,74089,2469.633333
140,1,742,570,74090,2469.666667
141,0,0,0,74091,2469.7
142,0,0,0,74092,2469.733333
143,1,765,712,74093,2469.766667
144,1,348,565,74094,2469.8
145,0,0,0,74095,2469.833333
146,1,795,712,74096,2469.866667
147,1,795,568,74097,2469.9
148,0,0,0,74098,2469.933333
149,1,400,60,74099,2469.966667
150,0,0,0,74100,2470.0
