Frame,Visibility,X,Y,OriginalFrame,TimeSec
0,1,555,252,60360,2012.0
1,1,555,252,60361,2012.033333
2,1,548,242,60362,2012.066667
3,1,542,235,60363,2012.1
4,1,538,232,60364,2012.133333
5,1,530,228,60365,2012.166667
6,1,528,225,60366,2012.2
7,1,528,225,60367,2012.233333
8,1,522,225,60368,2012.266667
9,1,518,228,60369,2012.3
10,1,512,230,60370,2012.333333
11,1,508,235,60371,2012.366667
12,1,502,240,60372,2012.4
13,1,502,240,60373,2012.433333
14,1,500,245,60374,2012.466667
15,1,495,255,60375,2012.5
16,1,492,265,60376,2012.533333
17,1,488,275,60377,2012.566667
18,1,485,288,60378,2012.6
19,1,485,288,60379,2012.633333
20,1,480,300,60380,2012.666667
21,1,478,315,60381,2012.7
22,1,472,330,60382,2012.733333
23,1,470,345,60383,2012.766667
24,1,502,390,60384,2012.8
25,1,502,390,60385,2012.833333
26,1,515,320,60386,2012.866667
27,1,535,298,60387,2012.9
28,1,550,288,60388,2012.933333
29,1,560,282,60389,2012.966667
30,1,570,278,60390,2013.0
31,1,570,278,60391,2013.033333
32,1,578,278,60392,2013.066667
33,1,585,278,60393,2013.1
34,1,592,278,60394,2013.133333
35,1,598,280,60395,2013.166667
36,1,605,280,60396,2013.2
37,1,602,280,60397,2013.233333
38,1,620.667,290.667,60398,2013.266667
39,1,639.333,301.333,60399,2013.3
40,1,658,312,60400,2013.333333
41,1,670.0,306.0,60401,2013.366667
42,1,682,300,60402,2013.4
43,1,682,300,60403,2013.433333
44,1,695,305,60404,2013.466667
45,1,708,312,60405,2013.5
46,1,718,320,60406,2013.533333
47,1,725,330,60407,2013.566667
48,1,735,340,60408,2013.6
49,1,735,340,60409,2013.633333
50,1,745,350,60410,2013.666667
51,1,755,362,60411,2013.7
52,1,762,375,60412,2013.733333
53,1,770,388,60413,2013.766667
54,1,780,402,60414,2013.8
55,1,780,402,60415,2013.833333
56,1,785,418,60416,2013.866667
57,1,792,432,60417,2013.9
58,1,800,450,60418,2013.933333
59,1,805,468,60419,2013.966667
60,1,805,468,60420,2014.0
61,1,805,468,60421,2014.033333
62,1,798,430,60422,2014.066667
63,1,795,408,60423,2014.1
64,1,790,388,60424,2014.133333
65,1,785,370,60425,2014.166667
66,1,785,358,60426,2014.2
67,1,785,358,60427,2014.233333
68,1,780,345,60428,2014.266667
69,1,778,338,60429,2014.3
70,1,775,330,60430,2014.333333
71,1,772,325,60431,2014.366667
72,1,772,320,60432,2014.4
73,1,772,320,60433,2014.433333
74,1,770,318,60434,2014.466667
75,1,770,318,60435,2014.5
76,1,772,322,60436,2014.533333
77,1,772,325,60437,2014.566667
78,1,772,328,60438,2014.6
79,1,772,325,60439,2014.633333
80,1,772,330,60440,2014.666667
