Frame,Visibility,X,Y,OriginalFrame,TimeSec
0,0,0,0,32350,1294.0
1,0,0,0,32351,1294.04
2,1,949,694,32352,1294.08
3,0,0,0,32353,1294.12
4,0,0,0,32354,1294.16
5,0,0,0,32355,1294.2
6,0,0,0,32356,1294.24
7,0,0,0,32357,1294.28
8,0,0,0,32358,1294.32
9,1,848,465,32359,1294.36
10,1,844,458,32360,1294.4
11,1,844,458,32361,1294.44
12,1,851,458,32362,1294.48
13,1,1009,709,32363,1294.52
14,1,1009,709,32364,1294.56
15,1,979,559,32365,1294.6
16,1,799,442,32366,1294.64
17,1,964,506,32367,1294.68
18,1,956,491,32368,1294.72
19,1,956,491,32369,1294.76
20,1,952,491,32370,1294.8
21,0,0,0,32371,1294.84
22,1,971,720,32372,1294.88
23,1,968,724,32373,1294.92
24,1,862,476,32374,1294.96
25,1,862,469,32375,1295.0
26,1,862,469,32376,1295.04
27,1,832,578,32377,1295.08
28,1,832,585,32378,1295.12
29,1,829,589,32379,1295.16
30,0,0,0,32380,1295.2
31,0,0,0,32381,1295.24
32,0,0,0,32382,1295.28
33,1,810,506,32383,1295.32
34,1,791,518,32384,1295.36
35,1,776,529,32385,1295.4
36,1,765,548,32386,1295.44
37,1,750,562,32387,1295.48
38,1,739,578,32388,1295.52
39,1,728,596,32389,1295.56
40,1,799,446,32390,1295.6
41,1,799,446,32391,1295.64
42,1,720,420,32392,1295.68
43,1,720,382,32393,1295.72
44,1,720,345,32394,1295.76
45,1,716,319,32395,1295.8
46,1,716,300,32396,1295.84
47,1,716,281,32397,1295.88
48,1,716,266,32398,1295.92
49,1,716,255,32399,1295.96
50,1,716,244,32400,1296.0
51,1,720,240,32401,1296.04
52,1,720,232,32402,1296.08
53,1,716,229,32403,1296.12
54,1,720,229,32404,1296.16
55,1,720,232,32405,1296.2
56,1,716,304,32406,1296.24
57,1,709,390,32407,1296.28
58,1,709,439,32408,1296.32
59,1,698,514,32409,1296.36
60,1,694,570,32410,1296.4
61,1,694,604,32411,1296.44
62,1,686,660,32412,1296.48
63,1,682,705,32413,1296.52
64,1,799,442,32414,1296.56
65,1,795,442,32415,1296.6
66,1,754,416,32416,1296.64
67,1,739,480,32417,1296.68
68,1,742,480,32418,1296.72
69,0,0,0,32419,1296.76
70,1,870,446,32420,1296.8
71,1,892,412,32421,1296.84
72,1,915,382,32422,1296.88
73,1,934,364,32423,1296.92
74,1,949,345,32424,1296.96
75,1,960,330,32425,1297.0
76,1,975,319,32426,1297.04
77,0,0,0,32427,1297.08
78,1,1001,300,32428,1297.12
79,1,1012,296,32429,1297.16
80,1,1024,296,32430,1297.2
81,1,1035,296,32431,1297.24
82,1,1046,296,32432,1297.28
83,1,1054,296,32433,1297.32
84,1,1065,304,32434,1297.36
85,1,1076,308,32435,1297.4
86,1,1084,315,32436,1297.44
87,1,1095,326,32437,1297.48
88,1,1102,338,32438,1297.52
89,1,1110,349,32439,1297.56
90,1,1118,364,32440,1297.6
91,1,1125,379,32441,1297.64
92,1,1132,394,32442,1297.68
93,1,1140,409,32443,1297.72
94,1,1151,428,32444,1297.76
95,1,1166,420,32445,1297.8
96,1,1181,424,32446,1297.84
97,1,1196,424,32447,1297.88
98,1,1208,428,32448,1297.92
99,1,1219,435,32449,1297.96
100,1,1226,442,32450,1298.0
101,1,1238,450,32451,1298.04
102,1,1241,458,32452,1298.08
103,1,1252,476,32453,1298.12
104,1,1260,488,32454,1298.16
105,1,1264,502,32455,1298.2
106,1,1271,518,32456,1298.24
107,1,1275,532,32457,1298.28
108,1,1282,551,32458,1298.32
109,1,1282,570,32459,1298.36
110,1,1279,562,32460,1298.4
111,1,1268,525,32461,1298.44
112,1,1260,499,32462,1298.48
113,1,1256,484,32463,1298.52
114,1,1256,469,32464,1298.56
115,1,1252,458,32465,1298.6
116,1,1249,454,32466,1298.64
117,1,1241,450,32467,1298.68
118,1,1129,484,32468,1298.72
119,1,1238,442,32469,1298.76
120,1,1238,446,32470,1298.8
121,1,1238,450,32471,1298.84
122,1,1234,454,32472,1298.88
123,1,1234,458,32473,1298.92
124,1,1230,469,32474,1298.96
125,1,1230,476,32475,1299.0
126,0,0,0,32476,1299.04
127,1,1226,499,32477,1299.08
128,1,1230,510,32478,1299.12
129,1,1238,491,32479,1299.16
130,1,1238,469,32480,1299.2
131,1,1238,450,32481,1299.24
132,1,1241,435,32482,1299.28
133,1,1241,424,32483,1299.32
134,1,1238,416,32484,1299.36
135,1,1241,412,32485,1299.4
136,1,1238,409,32486,1299.44
137,1,1238,405,32487,1299.48
138,1,1238,405,32488,1299.52
139,1,1234,409,32489,1299.56
140,1,1230,409,32490,1299.6
141,1,1234,416,32491,1299.64
142,1,1230,428,32492,1299.68
143,1,1230,435,32493,1299.72
144,1,1230,450,32494,1299.76
145,1,1226,465,32495,1299.8
146,1,1222,476,32496,1299.84
147,1,1222,499,32497,1299.88
148,1,1222,518,32498,1299.92
149,1,1222,532,32499,1299.96
150,1,1219,555,32500,1300.0
151,1,1200,544,32501,1300.04
152,1,1166,476,32502,1300.08
153,1,1121,382,32503,1300.12
154,1,1095,334,32504,1300.16
155,1,1061,281,32505,1300.2
156,1,1046,251,32506,1300.24
157,1,1020,206,32507,1300.28
158,1,1001,180,32508,1300.32
159,1,982,154,32509,1300.36
160,1,968,131,32510,1300.4
161,1,952,112,32511,1300.44
162,1,941,101,32512,1300.48
163,1,926,86,32513,1300.52
164,1,915,75,32514,1300.56
165,1,904,68,32515,1300.6
166,1,892,64,32516,1300.64
167,1,885,56,32517,1300.68
168,1,874,60,32518,1300.72
169,1,866,56,32519,1300.76
170,1,855,60,32520,1300.8
171,1,848,64,32521,1300.84
172,1,840,68,32522,1300.88
173,1,832,75,32523,1300.92
174,1,825,86,32524,1300.96
