Frame,Visibility,X,Y,OriginalFrame,TimeSec
0,1,755,20,15075,603.0
1,1,758,22,15076,603.04
2,1,762,22,15077,603.08
3,1,732.0,77.0,15078,603.12
4,1,702.0,132.0,15079,603.16
5,1,672.0,187.0,15080,603.2
6,1,642,242,15081,603.24
7,1,642,220,15082,603.28
8,1,633.5,205.0,15083,603.32
9,1,625,190,15084,603.36
10,1,615,175,15085,603.4
11,1,610,168,15086,603.44
12,1,605,160,15087,603.48
13,1,600,152,15088,603.52
14,1,595,150,15089,603.56
15,1,590,145,15090,603.6
16,1,585,145,15091,603.64
17,1,580,145,15092,603.68
18,1,575,148,15093,603.72
19,1,572,150,15094,603.76
20,1,568,152,15095,603.8
21,1,565,158,15096,603.84
22,1,560,165,15097,603.88
23,1,555,172,15098,603.92
24,1,552,182,15099,603.96
25,1,548,195,15100,604.0
26,1,545,205,15101,604.04
27,1,540,220,15102,604.08
28,1,538,235,15103,604.12
29,1,535,248,15104,604.16
30,1,528,270,15105,604.2
31,1,525,285,15106,604.24
32,1,522,305,15107,604.28
33,1,520,328,15108,604.32
34,1,512.5,261.5,15109,604.36
35,1,505,195,15110,604.4
36,1,500,142,15111,604.44
37,1,498,105,15112,604.48
38,1,495,75,15113,604.52
39,1,495,52,15114,604.56
40,1,495,35,15115,604.6
41,1,492,20,15116,604.64
42,1,492,10,15117,604.68
43,1,492,5,15118,604.72
44,1,508.6,52.0,15119,604.76
45,1,525.2,99.0,15120,604.8
46,1,541.8,146.0,15121,604.84
47,1,558.4,193.0,15122,604.88
48,1,575,240,15123,604.92
49,1,568,230,15124,604.96
50,1,562,225,15125,605.0
51,1,592,242,15126,605.04
52,1,602,245,15127,605.08
53,1,598,235,15128,605.12
54,1,568.0,161.667,15129,605.16
55,1,538.0,88.333,15130,605.2
56,1,508,15,15131,605.24
57,1,510,22,15132,605.28
58,1,510,30,15133,605.32
59,1,512,38,15134,605.36
60,1,515,50,15135,605.4
61,1,518,60,15136,605.44
62,1,518,70,15137,605.48
63,1,520,80,15138,605.52
64,1,522,92,15139,605.56
65,1,525,102,15140,605.6
66,1,528,138,15141,605.64
67,1,550,138,15142,605.68
68,1,570,160,15143,605.72
69,1,588,175,15144,605.76
70,1,602,190,15145,605.8
71,1,618,205,15146,605.84
72,1,630,220,15147,605.88
73,1,642,235,15148,605.92
74,1,652,250,15149,605.96
75,1,665,265,15150,606.0
76,1,675,282,15151,606.04
77,1,682,298,15152,606.08
78,1,692,315,15153,606.12
79,1,700,332,15154,606.16
80,1,710,350,15155,606.2
81,1,715,365,15156,606.24
82,1,700,330,15157,606.28
83,1,685,290,15158,606.32
84,1,675.0,267.5,15159,606.36
85,1,665,245,15160,606.4
86,1,655,230,15161,606.44
87,1,650,218,15162,606.48
88,1,645,208,15163,606.52
89,1,640,200,15164,606.56
90,1,610.0,136.667,15165,606.6
91,1,580.0,73.333,15166,606.64
92,1,550,10,15167,606.68
93,1,555,12,15168,606.72
94,1,555,10,15169,606.76
95,1,563.333,88.333,15170,606.8
96,1,571.667,166.667,15171,606.84
97,1,580,245,15172,606.88
98,1,575,258,15173,606.92
99,1,570,270,15174,606.96
100,1,562,285,15175,607.0
101,1,558,298,15176,607.04
102,1,552,312,15177,607.08
103,1,548,330,15178,607.12
104,1,542,342,15179,607.16
105,1,540,360,15180,607.2
106,1,535,378,15181,607.24
107,1,530,395,15182,607.28
108,1,525.0,400.0,15183,607.32
109,1,520,405,15184,607.36
110,1,515,370,15185,607.4
111,1,505,345,15186,607.44
112,1,502,325,15187,607.48
113,1,502,308,15188,607.52
114,1,500,292,15189,607.56
115,1,500,282,15190,607.6
116,1,498,272,15191,607.64
117,1,495,265,15192,607.68
118,1,495,260,15193,607.72
119,1,492,252,15194,607.76
120,1,564.0,184.667,15195,607.8
121,1,636.0,117.333,15196,607.84
122,1,708,50,15197,607.88
123,1,636.0,117.333,15198,607.92
124,1,564.0,184.667,15199,607.96
125,1,492,252,15200,608.0
126,1,492,255,15201,608.04
127,1,492,262,15202,608.08
128,1,492,268,15203,608.12
129,1,492,275,15204,608.16
130,1,495,290,15205,608.2
131,1,495,290,15206,608.24
132,1,495,300,15207,608.28
133,1,495,308,15208,608.32
134,1,490,292,15209,608.36
135,1,485,270,15210,608.4
136,1,480.0,254.0,15211,608.44
137,1,475,238,15212,608.48
138,1,472,225,15213,608.52
139,1,468,215,15214,608.56
140,1,465,208,15215,608.6
141,1,460,200,15216,608.64
142,1,460,198,15217,608.68
143,1,458,195,15218,608.72
144,1,455,192,15219,608.76
145,1,452,192,15220,608.8
146,1,450,192,15221,608.84
147,1,450,195,15222,608.88
148,1,445,200,15223,608.92
149,1,445,205,15224,608.96
150,1,442,210,15225,609.0
151,1,440,220,15226,609.04
152,1,440,230,15227,609.08
153,1,438,240,15228,609.12
154,1,435,252,15229,609.16
155,1,433.5,267.0,15230,609.2
156,1,432,282,15231,609.24
157,1,430,298,15232,609.28
158,1,430,315,15233,609.32
159,1,430,332,15234,609.36
160,1,428,352,15235,609.4
161,1,428,370,15236,609.44
162,1,442.0,336.0,15237,609.48
163,1,456.0,302.0,15238,609.52
164,1,470,268,15239,609.56
165,1,478,245,15240,609.6
166,1,485,230,15241,609.64
167,1,490,220,15242,609.68
168,1,495,212,15243,609.72
169,1,500,210,15244,609.76
170,1,505,205,15245,609.8
171,1,508,202,15246,609.84
172,1,512,202,15247,609.88
173,1,515,202,15248,609.92
174,1,518,205,15249,609.96
175,1,550,225,15250,610.0
176,1,550,205,15251,610.04
177,1,565.0,220.0,15252,610.08
178,1,580,235,15253,610.12
179,1,585,238,15254,610.16
180,1,625,218,15255,610.2
181,1,640,225,15256,610.24
182,1,652,232,15257,610.28
183,1,665,238,15258,610.32
184,1,680,248,15259,610.36
185,1,695,258,15260,610.4
186,1,708,270,15261,610.44
187,1,718,280,15262,610.48
188,1,730,292,15263,610.52
189,1,742,308,15264,610.56
190,1,750,320,15265,610.6
191,1,760,335,15266,610.64
192,1,772,352,15267,610.68
193,1,780,370,15268,610.72
194,1,790,385,15269,610.76
195,1,798,405,15270,610.8
196,1,805,422,15271,610.84
197,1,812,440,15272,610.88
198,1,806.333,396.0,15273,610.92
199,1,800.667,352.0,15274,610.96
200,1,795,308,15275,611.0
201,1,790,270,15276,611.04
202,1,785,242,15277,611.08
203,1,782,215,15278,611.12
204,1,780,198,15279,611.16
205,1,778,182,15280,611.2
206,1,775,170,15281,611.24
207,1,775,158,15282,611.28
208,1,772,150,15283,611.32
209,1,772,140,15284,611.36
210,1,770,135,15285,611.4
211,1,770,132,15286,611.44
212,1,768,130,15287,611.48
213,1,768,128,15288,611.52
214,1,768,128,15289,611.56
215,1,768,128,15290,611.6
216,1,770,170,15291,611.64
217,1,772,218,15292,611.68
218,1,772,260,15293,611.72
219,1,772,300,15294,611.76
220,1,775,332,15295,611.8
221,1,775,365,15296,611.84
222,1,775,395,15297,611.88
223,1,775,425,15298,611.92
224,1,778,450,15299,611.96
225,1,759.0,424.0,15300,612.0
226,1,740,398,15301,612.04
227,1,722,362,15302,612.08
228,1,710,332,15303,612.12
229,1,695,310,15304,612.16
230,1,685.0,292.667,15305,612.2
231,1,675.0,275.333,15306,612.24
232,1,665,258,15307,612.28
233,1,655,245,15308,612.32
234,1,648,238,15309,612.36
235,1,642,228,15310,612.4
236,1,635,222,15311,612.44
237,1,628,218,15312,612.48
238,1,625,215,15313,612.52
239,1,620,212,15314,612.56
240,1,615,212,15315,612.6
241,1,612,212,15316,612.64
242,1,608,215,15317,612.68
243,1,605,218,15318,612.72
244,1,602,222,15319,612.76
245,1,598,228,15320,612.8
246,1,598,232,15321,612.84
247,1,595,240,15322,612.88
248,1,592,248,15323,612.92
249,1,602,252,15324,612.96
250,1,618,248,15325,613.0
251,1,630,245,15326,613.04
252,1,648,245,15327,613.08
253,1,655,248,15328,613.12
254,1,655,245,15329,613.16
255,1,678,258,15330,613.2
256,1,690,260,15331,613.24
257,1,700,268,15332,613.28
258,1,712,275,15333,613.32
259,1,722,285,15334,613.36
260,1,730,292,15335,613.4
261,1,740,305,15336,613.44
262,1,750,318,15337,613.48
263,1,758,328,15338,613.52
264,1,765,342,15339,613.56
265,1,772,358,15340,613.6
266,1,780,372,15341,613.64
267,1,788,388,15342,613.68
268,1,789.0,359.0,15343,613.72
269,1,790,330,15344,613.76
270,1,785,285,15345,613.8
271,1,782,248,15346,613.84
272,1,780,218,15347,613.88
273,1,780,195,15348,613.92
274,1,780,172,15349,613.96
275,1,780,155,15350,614.0
276,1,778,142,15351,614.04
277,1,778,130,15352,614.08
278,1,778,120,15353,614.12
279,1,778,112,15354,614.16
280,1,778,108,15355,614.2
281,1,778,102,15356,614.24
282,1,778,100,15357,614.28
283,1,778,95,15358,614.32
284,1,778,95,15359,614.36
285,1,780,98,15360,614.4
286,1,780,98,15361,614.44
287,1,780,100,15362,614.48
288,1,782,150,15363,614.52
289,1,788,188,15364,614.56
290,1,792,245,15365,614.6
291,1,795,278,15366,614.64
292,1,800,312,15367,614.68
293,1,800,340,15368,614.72
294,1,805,372,15369,614.76
295,1,808,400,15370,614.8
296,1,810,422,15371,614.84
297,1,790,440,15372,614.88
298,1,745,355,15373,614.92
299,1,718,332,15374,614.96
300,1,692,318,15375,615.0
301,1,672,300,15376,615.04
302,1,655,288,15377,615.08
303,1,640,275,15378,615.12
304,1,628,270,15379,615.16
305,1,612,262,15380,615.2
306,1,605,258,15381,615.24
307,1,595,258,15382,615.28
308,1,585,252,15383,615.32
309,1,578,252,15384,615.36
310,1,570,255,15385,615.4
311,1,562,258,15386,615.44
312,1,555,260,15387,615.48
313,1,545,268,15388,615.52
314,1,545,270,15389,615.56
315,1,538,275,15390,615.6
316,1,530,290,15391,615.64
317,1,530,290,15392,615.68
318,1,528,298,15393,615.72
319,1,522,308,15394,615.76
320,1,520,315,15395,615.8
321,1,515,328,15396,615.84
322,1,515,335,15397,615.88
323,1,510,332,15398,615.92
324,1,508,328,15399,615.96
325,1,508,325,15400,616.0
326,1,502,320,15401,616.04
327,1,500,320,15402,616.08
