first_frame_num,first_time,last_frame_num,last_time,match_id,match_name,point_winner,rally_id,set_id,stroke_count,terminal_lose_reason,terminal_win_reason
11496,0:07:39,11582,00:07:43,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,1,1,2,出界,對手出界
11881,0:07:55,11965,0:07:58,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,2,1,6,未過網,對手未過網
12298,0:08:11,12942,00:08:37,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,3,1,27,掛網,對手掛網
13434,0:08:57,13523,0:09:00,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,4,1,6,對手落地致勝,落地致勝
13923,0:09:16,14245,0:09:29,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,5,1,16,對手落地致勝,落地致勝
14943,0:09:57,15035,0:10:01,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,6,1,5,未過網,對手未過網
15374,0:10:14,15433,0:10:17,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,7,1,4,出界,對手出界
15804,0:10:32,15881,0:10:35,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,8,1,6,出界,對手出界
16253,0:10:50,16799,0:11:11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,9,1,22,對手落地致勝,落地致勝
17423,0:11:36,17596,0:11:43,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,10,1,9,掛網,對手掛網
17990,0:11:59,19062,0:12:42,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,11,1,41,出界,對手出界
19583,0:13:03,20460,0:13:38,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,12,1,34,出界,對手出界
21006,0:14:00,22080,0:14:43,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,13,1,39,對手落地致勝,落地致勝
23058,0:15:22,23412,00:15:36,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,14,1,14,對手落地致勝,落地致勝
23852,0:15:54,24312,0:16:12,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,15,1,18,掛網,對手掛網
24978,0:16:39,26031,0:17:21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,16,1,40,掛網,對手掛網
27399,0:18:15,27728,0:18:29,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,17,1,15,出界,對手出界
28235,0:18:49,28677,0:19:07,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,18,1,19,對手落地致勝,落地致勝
29123,0:19:24,29296,0:19:31,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,19,1,7,出界,對手出界
31396,0:20:55,31450,0:20:58,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,20,1,3,出界,對手出界
31753,0:21:10,31828,0:21:13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,21,1,5,出界,對手出界
32365,0:21:34,32568,0:21:42,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,22,1,12,掛網,對手掛網
33026,0:22:01,33176,0:22:07,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,23,1,8,未過網,對手未過網
33608,0:22:24,34053,0:22:42,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,24,1,19,掛網,對手掛網
34896,0:23:15,35242,0:23:29,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,25,1,17,未過網,對手未過網
35812,0:23:52,36048,0:24:01,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,26,1,10,掛網,對手掛網
36562,0:24:22,37723,0:25:08,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,27,1,44,出界,對手出界
38386,0:25:35,38511,0:25:40,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,28,1,6,掛網,對手掛網
39814,0:26:32,40151,0:26:46,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,29,1,16,對手落地致勝,落地致勝
40613,00:27:04,41214,00:27:28,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,30,1,25,對手落地致勝,落地致勝
41738,00:27:49,41788,00:27:51,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,31,1,3,掛網,對手掛網
42221,00:28:08,42423,00:28:16,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,32,1,9,對手落地致勝,落地致勝
42797,00:28:31,43079,00:28:43,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,33,1,12,對手落地致勝,落地致勝
43701,00:29:08,43783,00:29:11,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,34,1,4,出界,對手出界
44111,00:29:24,44137,00:29:25,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,35,1,2,出界,對手出界
44411,00:29:36,44774,00:29:50,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,36,1,17,掛網,對手掛網
48521,00:32:20,48587,00:32:23,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,1,2,4,出界,對手出界
48966,00:32:38,49083,00:32:43,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,2,2,4,對手落地致勝,落地致勝
49590,00:33:03,49676,00:33:07,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,3,2,5,落點判斷失誤,對手落點判斷失誤
50030,00:33:21,50046,00:33:21,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,4,2,2,出界,對手出界
50322,00:33:32,50362,00:33:34,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,5,2,3,對手落地致勝,落地致勝
50752,00:33:50,50883,00:33:55,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,6,2,7,出界,對手出界
51285,00:34:11,51690,00:34:27,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,7,2,18,對手落地致勝,落地致勝
52449,00:34:57,52449,00:34:57,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,8,2,1,出界,對手出界
52842,00:35:13,53674,00:35:46,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,9,2,34,掛網,對手掛網
55100,00:36:44,55391,00:36:55,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,10,2,15,出界,對手出界
55912,00:37:16,56351,00:37:34,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,11,2,20,出界,對手出界
56790,00:37:51,57155,00:38:06,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,12,2,15,掛網,對手掛網
57990,00:38:39,58107,00:38:44,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,13,2,5,對手落地致勝,落地致勝
58820,00:39:12,58976,00:39:19,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,14,2,8,對手落地致勝,落地致勝
59395,00:39:35,59565,00:39:42,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,15,2,10,出界,對手出界
59963,00:39:58,60235,00:40:09,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,16,2,11,對手落地致勝,落地致勝
60652,00:40:26,60803,00:40:32,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,17,2,8,出界,對手出界
62748,00:41:49,63027,00:42:01,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,18,2,13,出界,對手出界
63753,00:42:30,64221,00:42:48,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,19,2,20,掛網,對手掛網
64711,00:43:08,64759,00:43:10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,20,2,3,對手落地致勝,落地致勝
65242,00:43:29,65464,00:43:38,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,21,2,11,對手落地致勝,落地致勝
66019,00:44:00,66256,00:44:10,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,22,2,11,掛網,對手掛網
66724,00:44:28,66917,00:44:36,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,23,2,9,對手落地致勝,落地致勝
67619,00:45:04,68667,00:45:46,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,24,2,42,對手落地致勝,落地致勝
70177,00:46:47,70951,00:47:18,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,25,2,32,對手落地致勝,落地致勝
71547,0:47:41,71649,00:47:45,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,26,2,6,出界,對手出界
72066,00:48:02,72206,00:48:08,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,27,2,7,出界,對手出界
72885,00:48:35,73832,00:49:13,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,A,28,2,38,掛網,對手掛網
74519,00:49:40,74599,00:49:43,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,29,2,4,對手落地致勝,落地致勝
75057,00:50:02,75587,00:50:23,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,B,30,2,22,未過網,對手未過網
